136,?,?,u003f,136.png
137,@,@,u0040,137.png
138,[,[,u005b,138.png
139,\,\,u005c,139.png
140,],],u005d,140.png
141,^,^,u005e,141.png
142,_,_,u005f,142.png
143,a,a,u0061,143.png
144,b,b,u0062,144.png
145,c,c,u0063,145.png
146,d,d,u0064,146.png
147,e,e,u0065,147.png
148,f,f,u0066,148.png
149,g,g,u0067,149.png
150,h,h,u0068,150.png
151,i,i,u0069,151.png
152,j,j,u006a,152.png
153,k,k,u006b,153.png
154,l,l,u006c,154.png
155,m,m,u006d,155.png
156,n,n,u006e,156.png
157,o,o,u006f,157.png
158,p,p,u0070,158.png
159,q,q,u0071,159.png
160,r,r,u0072,160.png
161,s,s,u0073,161.png
162,t,t,u0074,162.png
163,u,u,u0075,163.png
164,v,v,u0076,164.png
165,w,w,u0077,165.png
166,x,x,u0078,166.png
167,y,y,u0079,167.png
168,z,z,u007a,168.png
169,{,{,u007b,169.png
170,|,|,u007c,170.png
171,},},u007d,171.png
172,~,~,u007e,172.png
173,£,£,u00a3,173.png
174,¤,¤,u00a4,174.png
175,¥,¥,u00a5,175.png
176,§,§,u00a7,176.png
177,©,©,u00a9,177.png
178,«,«,u00ab,178.png
179,®,®,u00ae,179.png
180,°,°,u00b0,180.png
181,±,±,u00b1,181.png
182,²,²,u00b2,182.png
183,³,³,u00b3,183.png
184,µ,µ,u00b5,184.png
185,·,·,u00b7,185.png
186,¹,¹,u00b9,186.png
187,º,º,u00ba,187.png
188,»,»,u00bb,188.png
189,¼,¼,u00bc,189.png
190,×,×,u00d7,190.png
191,ß,ß,u00df,191.png
192,æ,æ,u00e6,192.png
193,÷,÷,u00f7,193.png
194,ø,ø,u00f8,194.png
195,đ,đ,u0111,195.png
196,ŋ,ŋ,u014b,196.png
197,ɔ,ɔ,u0254,197.png
198,ə,ə,u0259,198.png
199,ɡ,ɡ,u0261,199.png
200,ʰ,ʰ,u02b0,200.png
201,ˇ,ˇ,u02c7,201.png
202,ˈ,ˈ,u02c8,202.png
203,ˊ,ˊ,u02ca,203.png
204,ˋ,ˋ,u02cb,204.png
205,ˍ,ˍ,u02cd,205.png
206,ː,ː,u02d0,206.png
207,˙,˙,u02d9,207.png
208,˚,˚,u02da,208.png
209,ˢ,ˢ,u02e2,209.png
210,α,α,u03b1,210.png
211,β,β,u03b2,211.png
212,γ,γ,u03b3,212.png
213,δ,δ,u03b4,213.png
214,ε,ε,u03b5,214.png
215,η,η,u03b7,215.png
216,θ,θ,u03b8,216.png
217,ι,ι,u03b9,217.png
218,κ,κ,u03ba,218.png
219,λ,λ,u03bb,219.png
220,μ,μ,u03bc,220.png
221,ν,ν,u03bd,221.png
222,ο,ο,u03bf,222.png
223,π,π,u03c0,223.png
224,ρ,ρ,u03c1,224.png
225,ς,ς,u03c2,225.png
226,σ,σ,u03c3,226.png
227,τ,τ,u03c4,227.png
228,υ,υ,u03c5,228.png
229,φ,φ,u03c6,229.png
230,χ,χ,u03c7,230.png
231,ψ,ψ,u03c8,231.png
232,ω,ω,u03c9,232.png
233,а,а,u0430,233.png
234,б,б,u0431,234.png
235,в,в,u0432,235.png
236,г,г,u0433,236.png
237,д,д,u0434,237.png
238,е,е,u0435,238.png
239,ж,ж,u0436,239.png
240,з,з,u0437,240.png
241,и,и,u0438,241.png
242,к,к,u043a,242.png
243,л,л,u043b,243.png
244,м,м,u043c,244.png
245,н,н,u043d,245.png
246,о,о,u043e,246.png
247,п,п,u043f,247.png
248,р,р,u0440,248.png
249,с,с,u0441,249.png
250,т,т,u0442,250.png
251,у,у,u0443,251.png
252,ф,ф,u0444,252.png
253,х,х,u0445,253.png
254,ц,ц,u0446,254.png
255,ч,ч,u0447,255.png
256,ш,ш,u0448,256.png
257,ы,ы,u044b,257.png
258,ь,ь,u044c,258.png
259,я,я,u044f,259.png
260,і,і,u0456,260.png
261,ا,ا,u0627,261.png
262,ب,ب,u0628,262.png
263,ة,ة,u0629,263.png
264,ت,ت,u062a,264.png
265,د,د,u062f,265.png
266,ر,ر,u0631,266.png
267,س,س,u0633,267.png
268,ع,ع,u0639,268.png
269,ل,ل,u0644,269.png
270,م,م,u0645,270.png
271,ن,ن,u0646,271.png
272,ه,ه,u0647,272.png
273,و,و,u0648,273.png
274,ي,ي,u064a,274.png
275,۩,۩,u06e9,275.png
276,ก,ก,u0e01,276.png
277,ง,ง,u0e07,277.png
278,น,น,u0e19,278.png
279,ม,ม,u0e21,279.png
280,ย,ย,u0e22,280.png
281,ร,ร,u0e23,281.png
282,อ,อ,u0e2d,282.png
283,า,า,u0e32,283.png
284,เ,เ,u0e40,284.png
